"n2tstar","QuickDraw Mag for Micro UZI, UMP9, Vector"
"PetitClown","Motorcycle Helmet(Grey)"
"Cfisch","15x PM II Scope"
"MrJacob","Vertical Foregrip"
"Thadrius","QuickDraw Mag for Micro UZI, UMP9, Vector"
"infZ-","P18C"
"Dove","UMP9"
"viertwenty","Ghillie Suit"
"CashMeOutsideHBD","Ghillie Suit"
"CakeDestroyer","First Aid Kit"
"xXxSoMeThAnGxXx","KRISS VECTOR"
"Wilz-","SKS"
"CAVITYSEARCHER69","GROZA"
"1KaJ","First Aid Kit"
"Hessuniemi","Extended QuickDraw Mag for AR, S12K"
"denahuen","QucikDraw Mag for P9, P1911, P18C"
"Bonkol","Military Helmet(Woodland Camo)"
"Clydfrog","KRISS VECTOR"
"VoHiYo","Compensator for SMG"
"Isuelt","P18C"
"3tButz","QucikDraw Mag for P9, P1911, P18C"
"Razgreez","P92"
"joshb95","Extended QuickDraw Mag for AR, S12K"
"BADGER69","M416"
"Aeozora","15x PM II Scope"
"namkelli","P1911"
"Police-man","M16A4"
"SashkaBT","Motorcycle Helmet(Green)"
"BaronVonNugent",".45 ACP"
"Crystal_Light","Adrenaline Syringe"
"MarkstromTV","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Ensolenso","CROWBAR"
"Psisyn","CROWBAR"
"Xinos","MOLOTOV COCKTAIL"
"GBanks","Cheek Pad for Sniper Rifle"
"TylerLyons","First Aid Kit"
"DonnieDarko_","Extended Mag for Micro UZI, UMP9, Vector"
"C0reSh0t","Extended QuickDraw Mag for AR, S12K"
"Lethal","Motorcycle (w/ sidecar)"
"amazingblazing","M416"
"Traviakk","Buggy"
"elarkay","Utility Belt"
"EdEMonster","Extended QuickDraw Mag for P9, P1911, P18C"
"aCROOOOOOOOOO","Painkiller"
"rote","MICRO UZI"
"ZarboDasKing","PAN"
"jibbbyy","UAZ (Open Top)"
"Unique_User_ID","SICKLE"
"Undrwatrsnowman",".45 ACP"
"ceTeneaLa","7.62mm"
"Wurstpeter","SKS"
"Reed93","Red Dot Sight"
"bicboibicdic","PAN"
"Merlin","VSS"
"Hopesfire_","CROWBAR"
"Avar1ce","8x CQBSS Scope"
"stringbeans_","MK14 EBR"
"RichardHammer","Suppressor for AR, S12K"
"Rayy","Buggy"
"TonyAbbot4Pm2018","SICKLE"
"MOORPHEUS","P1911"
"Cuda87","Red Dot Sight"
"Keni","Buggy"
"tbus109","Vertical Foregrip"
"Synz-","Extended Mag for AR, S12K"
"Bagzii","Extended QuickDraw Mag for AR, S12K"
"Vikolakis","CROWBAR"
"Tsching","STUN GRENADE"
"KNOK1","Military Vest"
"Beezee","Adrenaline Syringe"
"ViZionary","Suppressor for AR, S12K"
"SovietWomble",".300 Magnum"
"Koeng","Red Dot Sight"
"JyengSung","Adrenaline Syringe"
"chrizzl90","PG-117"
"CastleBravo","Extended Mag for P9, P1911, P18C"
"P4wnyhof","UAZ (Open Top)"
"Sheepeo","Bullet Loops for Kar98k"
"BluesXx","Motorcycle (w/ sidecar)"
"ExAiming","CROWBAR"
"TehJamJar","Military Helmet(Desert Camo)"
"KrokodilKai","9mm"
"TeoV","Quiver"
"JoshOG","MACHETE"
"Fastolust","M24"
"Galea","MICRO UZI"
"The_Law_X","Compensator for Sniper Rifles"
"astru","Buggy"
"Thomzaa","Adrenaline Syringe"
"Rikerr","CROWBAR"
"0nuqtive","MACHETE"
"WasntAFairFight","Motorcycle Helmet(Green)"
"maxhole","Suppressor for Sniper Rifles"
"Dethridge","MACHETE"
"tuorpeZ",".45 ACP"
"YoungBuck","QuickDraw Mag for AR, S12K"
"Simodine","STUN GRENADE"
"KillyKAPOWski","CROSSBOW"
"SeveNations","Compensator for Assault Rifles"
"WISPE","KARABINER 98 KURZ"
"GildorrCZ","UMP9"
"B_urdeNing","M24"
"playgu","Suppressor for AR, S12K"
"sebseb",".45 ACP"
"No0dles","SICKLE"
"julia_tv","MINI14"
"DiamondSlicer","MK14 EBR"
"Wei87","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Reqex","4x ACOG Scope"
"IXIJerichoIXI","Suppressor for Handgun"
"TEAMMATE_Dota","M249"
"CptJdogg","Military Helmet(Desert Camo)"
"Velnes","Extended Mag for P9, P1911, P18C"
"RaZiDe","Extended Mag for P9, P1911, P18C"
"dehzinho","Extended Mag for Micro UZI, UMP9, Vector"
"Lights545",".45 ACP"
"King_Idiotface","FRAG GRENADE"
"striken2o","P92"
"Merlin12830","Suppressor for Sniper Rifles"
"Moondye7","CROSSBOW"
"Halifax","PG-117"
"SandcoolTV","Suppressor for Handgun"
"Sir_Diallaz","M16A4"
"Ionass","Adrenaline Syringe"
"Ayky","Angled Foregrip"
"s1nrgy","Suppressor for Handgun"
"Bugsbunny","MOLOTOV COCKTAIL"
"Tesfurdo","QuickDraw Mag for Micro UZI, UMP9, Vector"
"swagw1zard420xXx","Spetsnaz Helmet"
"FakeUniforM","UAZ (Open Top)"
"coztenza","GROZA"
"Samdaman","Bullet Loops for S1897, S686"
"therealobez","Ghillie Suit"
"Pripyat","P1911"
"Esterni","S686"
"M00SE","QuickDraw Mag for AR, S12K"
"Maihopawango","Extended Mag for Micro UZI, UMP9, Vector"
"kubbs","Spetsnaz Helmet"
"Legit1994","QucikDraw Mag for P9, P1911, P18C"
"Bruksel","Energy Drink"
"JamesB0ng","Bullet Loops for Kar98k"
"patrickao","Quiver"
"TBurdzZ","Red Dot Sight"
"TTV_XeRoXgaming","SMOKE GRENADE"
"Tabe","VSS"
"SepticFalcon","P18C"
"eeweeP",".300 Magnum"
"Moody","Motorcycle (w/ sidecar)"
"Nikkelode","AKM"
"GodLee","Extended QuickDraw Mag for AR, S12K"
"Denz","Extended Mag for Micro UZI, UMP9, Vector"
"Sequisha","Compensator for SMG"
"JimmurTV","Red Dot Sight"
"BISHLOVER","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"Tilezuuu","UAZ (Open Top)"
"SloppyDoppy","Med Kit"
"Cryolence","Motorcycle Helmet(Grey)"
"WoodTier","Vertical Foregrip"
"FoxzHound","Choke"
"Kooch","QucikDraw Mag for P9, P1911, P18C"
"hsram","Angled Foregrip"
"Peacedude",".300 Magnum"
"EwanHC","Bullet Loops for Kar98k"
"Mr_Elmo","Extended Mag for Micro UZI, UMP9, Vector"
"Jon_nammer","PG-117"
"Apexultima","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"CmdrKeen","MICRO UZI"
"VLADNIKO","S686"
"PhantomACE","Compensator for SMG"
"Interpret","12 Gauge"
"ShadowGG","FRAG GRENADE"
"Dalmas","Suppressor for AR, S12K"
"n0madic_","QuickDraw Mag for AR, S12K"
"Argyle","UAZ (Closed Top)"
"Barry","TOMMY GUN"
"Vincentbp53","P92"
"Xmortus","PG-117"
"Suncon","Extended Mag for AR, S12K"
"fallen92","Red Dot Sight"
"Di3seL","Utility Belt"
"ZEITZA","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"SmaK","S686"
"Th3Hound","Utility Belt"
"LaytoN","Bandage"
"djpernicus","PG-117"
"anyNoob","8x CQBSS Scope"
"CHUPACABRUH","QuickDraw Mag for Micro UZI, UMP9, Vector"
"Flahmz","M24"
"MightyPops","SMOKE GRENADE"
"BLORTH","Motorcycle"
"pippp","Med Kit"
"CyphiX","Painkiller"
"PeterBond","Quiver"
"CptGORR","QucikDraw Mag for P9, P1911, P18C"
"apvideo","M24"
"tucks","Painkiller"
"mooD","KARABINER 98 KURZ"
"Bierbank","Flash Hider for Assault Rifles"
"Salty_Banana","Compensator for SMG"
"minikerr","Energy Drink"
"Shock","Painkiller"
"Hotted","MOLOTOV COCKTAIL"
"LastGreyWolf","Bullet Loops for S1897, S686"
"TerrorNub","Extended Mag for Micro UZI, UMP9, Vector"
"CreepingDeath","Bandage"
"Manic-","Suppressor for AR, S12K"
"OppaiSuki","MACHETE"
"Esoeth","S12K"
"Craggy","Dacia 1300"
"Nopaaa","Military Helmet(Desert Camo)"
"Stab","7.62mm"
"JoeAWESOME","Suppressor for Handgun"
